Messpkt.;Deformation [%];Schubspannung [Pa];Speichermodul [Pa];Verlustmodul [Pa];Betrag(Viskosität) [Pa·s];Verlustfaktor [1];Auslenkwinkel [mrad];Moment [µNm];Status
2;3,61;2,59E+2;5,2E-3;7,19E0;0,719;1380;636;8480;
3;2,6;1,93E+2;2,38E-2;7,41E0;0,741;311;459;6310;
4;1,87;1,42E+2;4,73E-2;7,6E0;0,76;161;330;4660;
5;1,35;1,05E+2;6,27E-2;7,75E0;0,775;124;238;3420;
6;0,973;7,65E+1;7,52E-2;7,86E0;0,786;104;172;2500;
7;0,701;5,57E+1;8,53E-2;7,94E0;0,794;93,1;124;1820;
8;0,506;4,04E+1;9,39E-2;8E0;0,8;85,2;89,2;1320;
9;0,364;2,93E+1;1,02E-1;8,03E0;0,803;78,9;64,3;958;
10;0,263;2,12E+1;1,09E-1;8,06E0;0,806;74,3;46,3;693;
11;0,189;1,53E+1;1,14E-1;8,07E0;0,807;71;33,3;499;
12;0,136;1,1E+1;1,18E-1;8,08E0;0,808;68,6;24;360;
13;0,0982;7,94E0;1,17E-1;8,09E0;0,809;69;17,3;260;
14;0,0707;5,72E0;1,2E-1;8,09E0;0,809;67,3;12,5;187;
15;0,051;4,13E0;1,18E-1;8,09E0;0,809;68,4;8,99;135;
16;0,0367;2,98E0;1,22E-1;8,1E0;0,81;66,2;6,48;97,4;
17;0,0265;2,14E0;1,2E-1;8,1E0;0,81;67,4;4,67;70,2;
18;0,0191;1,55E0;1,17E-1;8,1E0;0,81;69,5;3,36;50,6;
19;0,0137;1,12E0;1,2E-1;8,11E0;0,811;67,9;2,42;36,5;
20;0,00991;8,04E-1;1,16E-1;8,12E0;0,812;70;1,75;26,3;
21;0,00715;5,8E-1;1,23E-1;8,11E0;0,811;65,8;1,26;19;
22;0,00514;4,17E-1;1,28E-1;8,12E0;0,812;63,7;0,907;13,7;
23;0,00371;3,01E-1;1,38E-1;8,1E0;0,81;58,7;0,655;9,85;
24;0,00267;2,16E-1;1,37E-1;8,1E0;0,81;59,3;0,471;7,08;
25;0,00193;1,56E-1;1,21E-1;8,09E0;0,809;66,9;0,34;5,11;
26;0,00139;1,12E-1;1,75E-1;8,07E0;0,808;46,2;0,245;3,67;
27;0,00101;8,14E-2;1,51E-1;8,08E0;0,809;53,6;0,178;2,66