Messpkt.;Kreisfrequenz [1/s];Speichermodul [Pa];Verlustmodul [Pa];Verlustfaktor [1];Betrag(Viskosität) [Pa·s];Auslenkwinkel [mrad];Moment [µNm];Status
3;192;3,73E0;1,36E+2;36,5;7,08E-1;1,25E+1;3,15E+3;
4;119;5,03E0;8,88E+1;17,6;7,46E-1;1,25E+1;2,06E+3;
5;73,9;3,38E0;5,73E+1;17;7,78E-1;1,25E+1;1,33E+3;
6;45,8;1,89E0;3,66E+1;19,3;7,99E-1;1,25E+1;8,47E+2;
7;28,4;9,26E-1;2,31E+1;25;8,14E-1;1,25E+1;5,35E+2;
8;17,6;4,22E-1;1,45E+1;34,3;8,24E-1;1,25E+1;3,35E+2;
9;10,9;1,84E-1;9,05E0;49,3;8,29E-1;1,25E+1;2,1E+2;
10;6,77;7,77E-2;5,63E0;72,6;8,33E-1;1,25E+1;1,31E+2;
11;4,2;3,23E-2;3,5E0;109;8,35E-1;1,25E+1;8,12E+1;
12;2,6;1,44E-2;2,18E0;152;8,38E-1;1,25E+1;5,05E+1;
13;1,61;6,65E-3;1,36E0;205;8,43E-1;1,25E+1;3,15E+1;
14;1;3,24E-3;8,48E-1;262;8,48E-1;1,25E+1;1,97E+1;